source,title,content_summary,section,url,date
Jornada,Carlos Fernández-Vega : México SA,"Práctica común tiempo campaña     electoral – ser cargo público aspirar – ser candidato prometer ya ejercicio hueso soler incumplir , menos parte medular interminable paquete “ compromiso ” “ oferta ” – notariada , ya ridículo , sangre medio – adquirido proselitismo . suceder aquí , allá acullá .",Economia,https://www.jornada.com.mx/2024/03/04/opinion/019o1eco?partner=rss,04/03/2024
Jornada,"sector energético , cada cuatro empresa atraído nearshoring","cada cuatro firma haber arribar México relocalización cadena global suministro , conocido nearshoring , pertenecer sector energía , señalar Ricardo Ortega López , director general Oil&amp;Gas Alliance .",Economia,https://www.jornada.com.mx/2024/03/04/economia/019n2eco?partner=rss,04/03/2024
Jornada,"2023 , inversión mexicano extranjero disminuir 55.7%","año pasado , mexicano invertir 6 mil 429 millón dólares proyecto largo plazo extranjero . monto – principalmente destinado ampliación operación empresa nacional América Latina , España , Francia , Alemania Estados Unidos – representar caída más 50 ciento tasa anual , revelar dato oficial .",Economia,https://www.jornada.com.mx/2024/03/04/economia/016n1eco?partner=rss,04/03/2024
Jornada,Enrique Galván Ochoa : Dinero,"haber persona interesado     haber rompimiento Claudia Andrés Manuel . tientar pregunta : ¿ ser calca López Obrador ? concentración Zócalo despejar duda : defender legado . diferencia haber buscarla realidad . día pasado tener Claudia reunión sector negocio , convocado Francisco Cervantes , presidente Consejo Coordinador Empresarial , contestar pregunta plan gobierno particular acerca política materia energía verde . respuesta : ser ambientalista , tanto , partidario energía verde , demérito industria petrolero . día después anunciar Zócalo programa panel solar familia pequeño comercio generar electricidad , traducir ahorro economía . López Obrador llegar Palacio sector privado contra , recuérdese organización empresarial decir ser “ peligro México ” .",Economia,https://www.jornada.com.mx/2024/03/04/opinion/006o1eco?partner=rss,04/03/2024
Jornada,congresista EU presentar acuerdo financiamiento gobierno,"Washington . negociador Congreso Estados Unidos revelar acuerdo detallado mantener funcionamiento gran parte gobierno 30 septiembre , apresurar evitar fecha límite cierre administración antes viernes .",Economia,https://www.jornada.com.mx/2024/03/04/economia/017n2eco?partner=rss,04/03/2024
Jornada,León Bendesky : ángulo política monetario,"dilema política     monetario Reserva Federal ( FED ) estar dado , general , confrontación condición crecimiento económico empleo frente comportamiento inflación , nivel estar fijado 2 ciento anual .",Economia,https://www.jornada.com.mx/2024/03/04/economia/017a1eco?partner=rss,04/03/2024
Jornada,David Márquez Ayala : Reporte económico,"crisis pandémico     global 2020 dejar México interrogante : ¿ haber comportar economía transformación no haber él dar colapso ? acercamiento fin comparativo , sacar tasa promedio crecimiento año cuarto quinto sexenio ir siglo , nuevo base 2018 : 2004-05 , 2.84 ; 2010-11 , 4.21 ; 2016-17 , 1.82 ; 2022-23 , 3.59% ; es , tener buen desempeño actual gobierno .",Economia,https://www.jornada.com.mx/2024/03/04/opinion/018o1eco?partner=rss,04/03/2024
Jornada,subocupación mujer aumentar enero,"arranque año , subrepresentación vivir mujer mercado laboral mexicano ver rebasado necesidad disponibilidad trabajar más . contrasentido registrado hombre , enero trabajadora buscar laborar más hora , información Instituto Nacional Estadística Geografía ( Inegi ) .",Economia,https://www.jornada.com.mx/2024/03/04/economia/017n1eco?partner=rss,04/03/2024
Jornada,Pemex haber recuperar gran parte venta mercado interno,"último tres año Petróleos Mexicanos ( Pemex ) haber recuperar gran parte venta mercado interno alcanzar nivel previo pandemia . registrar mayor comercialización gasolina , diésel gas licuado petróleo ( LP ) , dato empresa estatal .",Economia,https://www.jornada.com.mx/2024/03/04/economia/019n1eco?partner=rss,04/03/2024
Jornada,"año , país ser noveno productor mundial agroalimento","2024 , México avanzar peldaño convertir noveno mayor productor agroalimento mundo , tiempo subir dos escalón ocupar séptimo posición mayor exportador comida , revelar reporte anual Perspectivas Agroalimentarias 2024 .",Economia,https://www.jornada.com.mx/2024/03/04/economia/016n2eco?partner=rss,04/03/2024
Jornada,Sectur : feriado marzo dejar derrama 48 mil 381 millón pesos,"segundo fin semana largo año , ser 15 18 marzo , dejar derrama económico consumo servicio turístico 48 mil 381 millón pesos , prever Secretaría Turismo ( Sectur ) .",Economia,https://www.jornada.com.mx/2024/03/04/economia/018n1eco?partner=rss,04/03/2024
Jornada,opep+ extender recorte producción crudo segundo trimestre,"Organización Países Exportadores Petróleo aliado ( OPEP+ ) anunciar ampliar recorte voluntario producción crudo segundo trimestre año , suponer más apoyo mercado preocupado perspectiva crecimiento económico mundial .",Economia,https://www.jornada.com.mx/2024/03/04/economia/018n2eco?partner=rss,04/03/2024
Jornada,Diablos Rojos femenil vence Sultanes ; enfrentar Charros,"Diablos Rojos femenil empatar último serie temporada regular Liga Mexicana Softbol , vencer segundo duelo Sultanes Monterrey 9-5 visita Sultana Norte . escarlata enfrentar Charros Jalisco semifinal comenzar Ciudad México Parque Universitario Beisbol UNAM mañana .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n3dep?partner=rss,04/03/2024
Jornada,"Rayados , líder invicto , golea Pumas","Monterrey Pumas jugar partido anestesia , no haber enterar estadio BBVA mil aficionado pagar boleto celebrar grande . primero 45 minuto pasar largo . único momento cambiar noche , mexicano-estadunidense Brandon Vázquez , español Sergio Canales Gerardo Arteaga dar triunfo regiomontano 3-0 cierre fecha 10 Liga Mx .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a09n2dep?partner=rss,04/03/2024
Jornada,"México , imparable   Copa Oro W ; ir semifinal","México seguir momento algarabir Copa Oro W deber enfrentar complejidad . Jaqueline Ovalle haber convertir pilar plantel ahora marcar doblete , tricolor femenil asegurar pase semifinal torneo enfrentar Brasil después sortear complicado encuentro vencer 3-2 Paraguay .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a09n1dep?partner=rss,04/03/2024
Jornada,Paola Longoria alcanzar título 119 Abierto Boston raquetbol,"legado Paola Longoria raquetbol seguir extender él . Abierto Boston , potosina lograr título más largo palmarés superar centena trofeo .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a11n2dep?partner=rss,04/03/2024
Jornada,Boston aplasta Golden State diferencia récord,"Celtics Boston machacar 140-88 Guerreros Golden State tercero victoria más abultado casi 80 año historia NBA . pese ausencia estelar Kristaps Porzingis , equipo trébol afianzar liderato Conferencia Este 11 triunfo consecutivo . escolta Jaylen Brown anotar 25 29 punto frenética primero mitad , local adelantar asombroso marcador 82-38 , mayor diferencia descanso historia franquicia , vez , peor déficit Guerreros . Jayson Tatum contribuir 27 unidad Stephen Curry , símbolo Golden State , quedar sólo cuatro .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a30n1dep?partner=rss,04/03/2024
Jornada,clavadista mexicano ratificir talento Montreal,"ser cualidad haber mostrar clavadista mexicano Copa Mundo realizar Montreal , Canadá . rasgo levantar expectativa rumbo participación Juegos Olímpicos jornada delegación tricolor agregar dos medalla más conteo .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a11n1dep?partner=rss,04/03/2024
Jornada,"inteligencia artificial   impacto deporte , coincidir especialista",Boston . múltiple análisis avanzado haber deporte estar medir él rival superar : inteligencia artificial ( IA ) .,Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n1dep?partner=rss,04/03/2024
Jornada,"Acapulco , bicampeón Abierto Mexicano reconstruir","Acapulco , Gro . , Alex Miñaur llegar Acapulco , arrastrar cuatro final perdido manera consecutivo ; peor racha circuito ATP convertir profesional .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n2dep?partner=rss,04/03/2024
Jornada,Santiago Giménez anotar empate 2-2 Feyenoord PSV,"Haya . , Feyenoord perder oportunidad recortar distancia PSV , líder liga neerlandés , ayer empatar 2-2 , duelo mexicano Santiago Giménez anotar equipo Rotterdam , compatriota Hirving Chucky Lozano cumplir 100 partido conjunto Eindhoven .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a10n1dep?partner=rss,04/03/2024
Jornada,"Mallorca , Vasco Aguirre , final Copa Rey","Madrid . Mallorca , dirigido mexicano Javier Vasco Aguirre , vencer 1-0 Girona ayer jornada 27 Liga España acercar él permanencia semana perfecto lograr pase final Copa Rey .",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a10n2dep?partner=rss,04/03/2024
Jornada,Marlene Santos Alejo : Balance jornada,"vísperas Día Mujer     horas aprobar Senado Ley Equidad Salarial , Tri femenil estar demostrar participación Copa Oro W medida ser necesario ser apenas principio justicia deber triunfar encima mezquindad Federación Mexicana Futbol ( FMF ) , directivo haber retrasar salida luz noviembre argumento insostenible ... restar paso publicación norma dar , comienzo carrera profesional , soler parejo hombre mujer .",Deportes,https://www.jornada.com.mx/2024/03/04/opinion/a10o1dep?partner=rss,04/03/2024
Jornada,“ México sólo tener dos tres año alcanzar   éxito industria espacial ”,"México tener dos tres año , más , incursionar éxito industria espacial ser potencia escala planetario , advertir Katya Echazarreta ( Guadalajara,1995 ) , junio 2022 convertir primero mexicana viajar espacio exterior , parte misión Blue Origin NS-21 .",Ciencia y tecnologia,https://www.jornada.com.mx/2024/03/04/ciencias/a05n1cie?partner=rss,04/03/2024
Jornada,Hermann Bellinghausen : Monje baronesa,"haber fuego interior     dificultar acabar hacer imposible vida artista haber iluminar antorcha mundo necesitar . ocurrir Thelonious Monk , padre be bop jazzista más original virtuoso historia , ya ser decir . haber ángel , incluir fragilidad propenso grave riesgo . nacido 1917 , poco después padre mudar Manhattan , departamento Thelonious vivir vida adulto . amigo Charlie Parker , traer integrado demonio , diferencia Bird , no tener problema serio adicción ; , literalmente , ser mental . mal diagnosticado siquiatra , ser tratar loco depresivo . familia salvar electrochoqu , no antisicótico dejar inútil último año vida .",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a04a1cul?partner=rss,04/03/2024
Jornada,"libertad , Margo Glantz ser autora más cercano nuevo generación",escritora académico Margo Glantz poseer apertura tema lejano apariencia diálogo nuevo generación autora haber desarrollar obra literario apasionado diferente . ser característica actividad creativo personalidad también académico celebrar mediodía domingo homenaje recibir Palacio Bellas Artes .,Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a04n1cul?partner=rss,04/03/2024
Jornada,Gladiola Orozco evocar inicio danza : “ sublime ; ser poner pie esperanza ”,"coreógrafa , bailarina maestra Gladiola Orozco , próximo 9 octubre cumplir 90 año , asegurar “ pasión poder lograr vida ” . labor favor danza contemporáneo cultura país haber ser esencial .",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a02n1cul?partner=rss,04/03/2024
Jornada,Blanca Ríos despedir escenario   Esmeralda,"después 23 año carrera , primero bailarina Compañía Nacional Danza ( CND ) , Blanca Ríos , despedir escenario 10 marzo Palacio Bellas Artes Ballet Esmeralda , inspirado novela señora París , Victor Hugo .",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a03n2cul?partner=rss,04/03/2024
Jornada,Ceprodac reconocer tributo vocación entrega maestra Orozco,"Centro Producción Danza Contemporánea ( Ceprodac ) , dirigir Cecilia Lugo , realizar homenaje bailarina , coreógrafa fundadora desaparecido Ballet Teatro Espacio , Gladiola Orozco , 16 marzo sala principal Palacio Bellas Artes .",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a03n1cul?partner=rss,04/03/2024
